"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1181","Verify Google homepage opens successfully","tests","Sun Apr 19 19:42:55 IST 2026","passed","Sun Apr 19 19:42:56 IST 2026","TestGoogleSearch","test_google_search","",""
"","11607","Verify search for Selenium WebDriver returns results","tests","Sun Apr 19 19:43:02 IST 2026","failed","Sun Apr 19 19:43:13 IST 2026","TestGoogleSearch","test_google_search","",""
